alt,temp,press,dens,a,visc
km,K,Pa,kg/m3,m/s,Pa s
0,288.15,101325,1.225,340.294,1.81206E-05
0.1,287.5,100129,1.21328,339.91,1.80881E-05
0.2,286.85,98945.3,1.20165,339.526,1.80556E-05
0.3,286.2,97772.6,1.19011,339.141,0.000018023
0.4,285.55,96611.1,1.17864,338.755,1.79905E-05
0.5,284.9,95460.8,1.16727,338.37,1.79579E-05
0.6,284.25,94321.7,1.15598,337.983,1.79252E-05
0.7,283.6,93193.6,1.14477,337.597,1.78925E-05
0.8,282.95,92076.4,1.13364,337.21,1.78598E-05
0.9,282.3,90970.1,1.1226,336.822,1.78271E-05
1,281.65,89874.6,1.11164,336.434,1.77943E-05
1.1,281,88789.8,1.10077,336.046,1.77615E-05
1.2,280.35,87715.6,1.08997,335.657,1.77286E-05
1.3,279.7,86651.9,1.07925,335.267,1.76957E-05
1.4,279.05,85598.8,1.06862,334.878,1.76628E-05
1.5,278.4,84556,1.05807,334.487,1.76298E-05
1.6,277.75,83523.5,1.04759,334.097,1.75968E-05
1.7,277.1,82501.3,1.0372,333.705,1.75638E-05
1.8,276.45,81489.2,1.02688,333.314,1.75307E-05
1.9,275.8,80487.2,1.01665,332.922,1.74976E-05
2,275.15,79495.2,1.00649,332.529,1.74645E-05
2.1,274.5,78513.1,0.99641,332.136,1.74313E-05
2.2,273.85,77540.9,0.986407,331.743,1.73981E-05
2.3,273.2,76578.4,0.976481,331.349,1.73649E-05
2.4,272.55,75625.7,0.966632,330.954,1.73316E-05
2.5,271.9,74682.5,0.956859,330.56,1.72983E-05
2.6,271.25,73748.9,0.947162,330.164,1.72649E-05
2.7,270.6,72824.8,0.93754,329.768,1.72315E-05
2.8,269.95,71910.1,0.927993,329.372,1.71981E-05
2.9,269.3,71004.7,0.91852,328.975,1.71646E-05
3,268.65,70108.5,0.909122,328.578,1.71311E-05
3.1,268,69221.6,0.899798,328.18,1.70976E-05
3.2,267.35,68343.7,0.890546,327.782,0.000017064
3.3,266.7,67474.9,0.881368,327.383,1.70304E-05
3.4,266.05,66615,0.872262,326.984,1.69967E-05
3.5,265.4,65764.1,0.863229,326.584,0.000016963
3.6,264.75,64921.9,0.854267,326.184,1.69293E-05
3.7,264.1,64088.6,0.845377,325.784,1.68955E-05
3.8,263.45,63263.9,0.836557,325.382,1.68617E-05
3.9,262.8,62447.8,0.827808,324.981,1.68279E-05
4,262.15,6.16E+04,8.19E-01,324.579,0.000016794
4.1,261.5,6.08E+04,8.11E-01,324.176,1.67601E-05
4.2,260.85,6.01E+04,8.02E-01,323.773,1.67261E-05
4.3,260.2,5.93E+04,7.94E-01,323.369,1.66922E-05
4.4,259.55,5.85E+04,7.85E-01,322.965,1.66581E-05
4.5,258.9,5.77E+04,7.77E-01,322.56,1.66241E-05
4.6,258.25,5.70E+04,7.69E-01,322.155,0.00001659
4.7,257.6,5.62E+04,7.60E-01,321.75,1.65558E-05
4.8,256.95,5.55E+04,7.52E-01,321.343,1.65216E-05
4.9,256.3,5.47E+04,7.44E-01,320.937,1.64874E-05
5,255.65,5.40E+04,7.36E-01,320.529,1.64531E-05
5.1,255,5.33E+04,7.28E-01,320.122,1.64188E-05
5.2,254.35,5.26E+04,7.20E-01,319.713,1.63845E-05
5.3,253.7,5.19E+04,7.13E-01,319.305,1.63501E-05
5.4,253.05,5.12E+04,7.05E-01,318.895,1.63157E-05
5.5,252.4,5.05E+04,6.97E-01,318.486,1.62813E-05
5.6,251.75,4.98E+04,6.89E-01,318.075,1.62468E-05
5.7,251.1,4.92E+04,6.82E-01,317.664,1.62122E-05
5.8,250.45,4.85E+04,6.74E-01,317.253,1.61777E-05
5.9,249.8,4.78E+04,6.67E-01,316.841,0.000016143
6,249.15,4.72E+04,6.60E-01,316.428,1.61084E-05
6.1,248.5,4.65E+04,6.52E-01,316.015,1.60737E-05
6.2,247.85,4.59E+04,6.45E-01,315.602,0.000016039
6.3,247.2,4.53E+04,6.38E-01,315.188,1.60042E-05
6.4,246.55,4.47E+04,6.31E-01,314.773,1.59694E-05
6.5,245.9,4.40E+04,6.24E-01,314.358,1.59345E-05
6.6,245.25,4.34E+04,6.17E-01,313.942,1.58996E-05
6.7,244.6,4.28E+04,6.10E-01,313.526,1.58647E-05
6.8,243.95,4.22E+04,6.03E-01,313.109,1.58297E-05
6.9,243.3,4.16E+04,5.96E-01,312.692,1.57947E-05
7,242.65,4.11E+04,5.90E-01,312.274,1.57596E-05
7.1,242,4.05E+04,5.83E-01,311.855,1.57245E-05
7.2,241.35,3.99E+04,5.76E-01,311.436,1.56894E-05
7.3,240.7,39355.8,0.569602,311.016,1.56542E-05
7.4,240.05,38800.4,0.563084,310.596,0.000015619
7.5,239.4,38251.4,0.556624,310.175,1.55837E-05
7.6,238.75,37708.7,0.55022,309.754,1.55484E-05
7.7,238.1,37172.2,0.543873,309.332,1.55131E-05
7.8,237.45,36642,0.537582,308.909,1.54777E-05
7.9,236.8,36117.8,0.531347,308.486,1.54423E-05
8,236.15,35599.8,0.525168,308.063,1.54068E-05
8.1,235.5,35087.8,0.519043,307.638,1.53713E-05
8.2,234.85,34581.8,0.512973,307.214,1.53357E-05
8.3,234.2,34081.7,0.506958,306.788,1.53001E-05
8.4,233.55,33587.5,0.500997,306.362,1.52645E-05
8.5,232.9,33099,0.49509,305.935,1.52288E-05
8.6,232.25,32616.4,0.489236,305.508,1.51931E-05
8.7,231.6,32139.5,0.483435,305.08,1.51573E-05
8.8,230.95,31668.2,0.477687,304.652,1.51215E-05
8.9,230.3,31202.6,0.471992,304.223,1.50857E-05
9,229.65,30742.5,0.466348,303.793,1.50498E-05
9.1,229,30287.9,0.460756,303.363,1.50138E-05
9.2,228.35,29838.7,0.455216,302.932,1.49778E-05
9.3,227.7,29395,0.449727,302.501,1.49418E-05
9.4,227.05,28956.7,0.444289,302.069,1.49058E-05
9.5,226.4,28523.6,0.438901,301.636,1.48696E-05
9.6,225.75,28095.8,0.433563,301.203,1.48335E-05
9.7,225.1,27673.2,0.428275,300.769,1.47973E-05
9.8,224.45,27255.8,0.423036,300.334,0.000014761
9.9,223.8,26843.5,0.417847,299.899,1.47247E-05
10,223.15,26436.3,0.412707,299.463,1.46884E-05
10.1,222.5,26034,0.407615,299.027,0.000014652
10.2,221.85,25636.8,0.402571,298.59,1.46156E-05
10.3,221.2,25244.5,0.397575,298.152,1.45792E-05
10.4,220.55,24857,0.392627,297.714,1.45426E-05
10.5,219.9,24474.4,0.387725,297.275,1.45061E-05
10.6,219.25,24096.5,0.382871,296.835,1.44695E-05
10.7,218.6,23723.4,0.378064,296.395,1.44328E-05
10.8,217.95,23355,0.373303,295.954,1.43962E-05
10.9,217.3,22991.2,0.368588,295.512,1.43594E-05
11,216.65,22632.1,0.363918,295.07,1.43226E-05
11.1,216.65,22278,0.358224,295.07,1.43226E-05
11.2,216.65,21929.4,0.35262,295.07,1.43226E-05
11.3,216.65,21586.3,0.347103,295.07,1.43226E-05
11.4,216.65,21248.6,0.341673,295.07,1.43226E-05
11.5,216.65,20916.2,0.336327,295.07,1.43226E-05
11.6,216.65,20589,0.331065,295.07,1.43226E-05
11.7,216.65,20266.8,0.325886,295.07,1.43226E-05
11.8,216.65,19949.8,0.320787,295.07,1.43226E-05
11.9,216.65,19637.6,0.315768,295.07,1.43226E-05
12,216.65,19330.4,0.310828,295.07,1.43226E-05
12.1,216.65,19028,0.305965,295.07,1.43226E-05
12.2,216.65,18730.3,0.301178,295.07,1.43226E-05
12.3,216.65,18437.2,0.296466,295.07,1.43226E-05
12.4,216.65,18148.8,0.291828,295.07,1.43226E-05
12.5,216.65,17864.8,0.287262,295.07,1.43226E-05
12.6,216.65,17585.4,0.282768,295.07,1.43226E-05
12.7,216.65,17310.2,0.278344,295.07,1.43226E-05
12.8,216.65,17039.4,0.273989,295.07,1.43226E-05
12.9,216.65,16772.8,0.269703,295.07,1.43226E-05
13,216.65,16510.4,0.265483,295.07,1.43226E-05
13.1,216.65,16252.1,0.26133,295.07,1.43226E-05
13.2,216.65,15997.8,0.257241,295.07,1.43226E-05
13.3,216.65,15747.5,0.253217,295.07,1.43226E-05
13.4,216.65,15501.2,0.249255,295.07,1.43226E-05
13.5,216.65,15258.7,0.245355,295.07,1.43226E-05
13.6,216.65,15019.9,0.241517,295.07,1.43226E-05
13.7,216.65,14784.9,0.237738,295.07,1.43226E-05
13.8,216.65,14553.6,0.234019,295.07,1.43226E-05
13.9,216.65,14325.9,0.230357,295.07,1.43226E-05
14,216.65,14101.8,0.226753,295.07,1.43226E-05
14.1,216.65,13881.2,0.223206,295.07,1.43226E-05
14.2,216.65,13664,0.219714,295.07,1.43226E-05
14.3,216.65,13450.2,0.216276,295.07,1.43226E-05
14.4,216.65,13239.8,0.212893,295.07,1.43226E-05
14.5,216.65,13032.7,0.209562,295.07,1.43226E-05
14.6,216.65,12828.8,0.206283,295.07,1.43226E-05
14.7,216.65,12628.1,0.203056,295.07,1.43226E-05
14.8,216.65,12430.5,0.199879,295.07,1.43226E-05
